Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2108,1304,1304,223344,65512,0.53,687,113826,68653,0.21,278,6995,4774,1304,237388,73242,1304,13897,960,0.12,160,216352,54252,0.12,153,127884,23567,0.74,967,120153,24879,1430,1031263,196465
2110,6277,6277,208902,80173,0.68,4296,141094,78000,0.26,1640,3656,2193,6277,218861,84819,6277,9809,1112,0.1,598,251369,50556,0.09,555,138134,22110,0.79,4990,99796,27540,6664,612917,162434
2111,10392,10392,117176,76366,0.8,8268,103822,81219,0.22,2238,2743,907,10392,121823,80510,10392,4559,1210,0.1,1022,173758,32274,0.09,948,122300,11756,0.83,8608,43689,21883,11169,253457,92937
2112,24866,24866,82888,62551,0.8,19784,85298,71606,0.23,5602,-1242,-535,24866,86049,65336,24866,3113,1010,0.11,2612,107677,28571,0.1,2395,78627,11177,0.79,19637,27710,17105,24964,163375,56466
2113,19408,19408,82809,63974,0.82,15833,87990,73971,0.2,3801,-1778,-916,19408,85836,67012,19408,2921,964,0.09,1772,117189,25076,0.08,1617,94091,10448,0.79,15251,27682,18178,18612,137702,45012
2114,17532,17532,76309,60892,0.81,14274,81262,69774,0.21,3693,-221,-558,17532,79134,63578,17532,2762,947,0.1,1756,96058,23380,0.09,1573,74859,9394,0.79,13847,24050,16262,17589,147466,50062
2115,7428,7428,73955,60726,0.83,6132,78786,69670,0.21,1570,-2485,-1869,7428,76770,63509,7428,2767,998,0.11,812,66609,30574,0.1,761,43865,11846,0.8,5916,22488,16080,7701,123711,52182
2116,4396,4396,69172,57962,0.84,3674,73892,65862,0.18,791,-1371,-2055,4396,71795,60048,4396,2565,873,0.1,453,63897,31480,0.1,429,40128,11069,0.79,3461,20590,14770,4552,116404,48776
2117,13537,13537,71585,55402,0.77,10488,74927,64908,0.22,3038,-1262,-842,13537,74880,57843,13537,3255,770,0.11,1480,239788,31304,0.1,1384,224945,11364,0.76,10324,23089,15113,13624,151811,52396
2118,17578,17578,69022,52286,0.74,13050,77713,65837,0.27,4787,-1101,-675,17578,71645,54744,17578,2570,715,0.11,2018,159678,27400,0.1,1836,144741,10001,0.74,12972,22580,15099,17151,156291,50828
2119,8097,8097,105789,67081,0.72,5794,103302,79720,0.29,2363,-722,-100,8097,110246,71350,8097,4328,1037,0.09,699,165461,37910,0.08,652,96092,12551,0.76,6169,41607,22858,8377,357540,138338
2120,13909,13909,87215,66076,0.79,10976,93813,78346,0.23,3142,-575,-552,13909,90642,69683,13909,3371,1013,0.09,1191,132754,28058,0.08,1118,103269,10250,0.78,10825,30018,20337,14931,219927,103190
2121,23653,23653,79882,58137,0.76,18045,85891,71000,0.26,6231,-944,-236,23653,82909,60781,23653,2970,829,0.09,2156,238101,25000,0.08,1942,227651,9758,0.76,17885,27758,17324,22480,195981,50711
